idItinerario,codigoAeropuerto,nombreAeropuerto
397,CJA,"Cajamarca, Peru   Cjamarca Airport"
398,CJC,"Calama, Chile   El Loa Airport"
399,CCU,"Calcutta (Kolkata), India   Calcutta International Airport"
400,CDW,"Caldwell, New Jersey, USA   Caldwell Airport"
401,YYC,"Calgary, Alberta, Canada Calgary Intl Airport"
402,CLO,"Cali, Colombia Alfonso Bonilla Aragon"
403,CCJ,"Calicut, India"
404,CLY,"Calvi, Corsica, France Ste Catherine"
405,XAZ,"Cambellton, New Brunswick, Canada Campbellton"
406,CBG,"Cambridge, England, United Kingdom Cambridge"
407,YCB,"Cambridge Bay, Canada   Cambridge Bay Airport"
408,CDH,"Camden, AR, USA"
409,YBL,"Campbell River /Campbell Rvr, British Columbia, Canada Metropolitan Area"
410,YHH,"Campbell River Harbor, Canada   Campbell River Harbor"
411,CAL,"Campbeltown, United Kindgom   Campbeltown Airport"
412,CPE,"Campeche, Mexico   Campeche Airport"
413,CPV,"Campina Grande, Brazil   Campita Grande Airport"
414,CPQ,"Campinas, Sao Paulo, Brazil Campinas International"
415,CGR,"Campo Grande, Mato Grosso Do Sul, Brazil"
416,CAJ,"Canaima, Venezuela"
417,LPA,"Canary Islands, Gran Canaria, Canary Islands, Spain   Aeropuerto De Gran Canaria"
418,CBR,"Canberra, Australian Capital Territory, Australia Canberra"
419,CUN,"Cancun, Mexico"
420,JCA,"Cannes, France Mandelieu"
421,YTE,"Cape Dorset, Canada   Cape Dorset Airport"
422,CIW,"Canouan Island, St Vincent and the Grenadines   Canouan Island Airport"
423,CNY,"Canyonlands, UT, USA   Canyonlands Moab Airport"
424,CGI,"Cape Girardeau, MO, USA Municipal Airport"
425,EHM,"Cape Newenham, Alaska, USA   Cape Newenham Airport"
426,CPT,"Cape Town, South Africa D F Malan"
427,XAW,"Capreol, Ontario, Canada Capreol / Via Rail Service"
428,PRJ,"Capri,Italy   Capri Airport"
429,CCS,"Caracas, Venezuela Simon Bolivar International"
430,CKS,"Carajas, Para, Brazil International / Brasilia Brazil"
431,MDH,"Carbondale, IL, USA Southern Illinois Airport"
432,CCF,"Carcassonne, France Salvaza Airport"
433,CWL,"Cardiff, Wales, United Kingdom CardiffWales"
434,CLD,"Carlsbad, CA, USA Carlsbad/Palomar Airport"
435,CNM,"Carlsbad, NM, USA"
436,CRU,"Carriacou Island, Grenada"
437,CTG,"Cartagena, Colombia Rafael Nunez"
438,CUP,"Carupano, Venezuela Carupano"
439,LRM,"Casa De Campo, Dominican Republic"
440,CAS,"Casablanca, Morocco Anfa"
441,CMN,"Casablanca, Morocco Mohamed V"
442,CAC,"Cascavel, Brazil, Cascavel Airport"
443,CPR,"Casper, WY, USA Natrona County Intl Airport"
444,XZB,"Casselman, Ontario, Canada Casselman / Via Rail Service"
445,YCG,"Castlegar, British Columbia, Canada"
446,CTA,"Catania, Sicily, Italy Fontanarossa"
447,SDQ,"Causedo/Santo Domingo, Dominican Republic   Las Americas International Airport"
448,CXJ,"Caxias Do Sul, Brazil   Caxias Do Sul Airport"
449,CAY,"Cayenne, French Guiana Rochambeau"
450,CYB,"Cayman Brac Island, Cayman Islands"
451,GCM,"Cayman Islands, Grand Cayman Island   Owen Roberts Intl Airport"
452,CEB,"Cebu, Philippines International"
453,CDC,"Cedar City, UT, USA"
454,CID,"Cedar Rapids, IA, USA Municipal"
455,CDR,"Chadron, NE, USA"
456,CED,"Ceduna, Australia   Ceduna Airport"
457,SFB,"Cantral Florida, Orlando, FL, USA   Sanford Central Florida Regional Airport"
458,CDR,"Chadron, NE, USA   Chadron Airport"
459,CMF,"Chambery, France Chambery AixLesBains"
460,XCI,"Chambord, Quebec, Canada Chambord / Via Rail Service"
461,CMI,"Champaign, IL, USA Univ Of IllinoisWillard Airport"
462,IXC,"Chandigarh, India Chandigarh"
463,XDL,"Chandler, Quebec, Canada Chandler / Via Rail Service"
464,CGQ,"Changchun, China"
465,CGD,"Changde, China   Changde"
466,CSX,"Changsha, China"
467,CIH,"Changzhi, China"
468,CZX,"Changzhu, China"
469,CHQ,"Chania, Crete Island, Greece Souda"
470,LEC,"Chapada Diamantina, Brazil   Chapada Diamantina Airport"
471,XAP,"Chapeco, Brazil   Chapeco Airport"
472,CPC,"Chapelco   San Martin De Los Andes, Neuquen, Argentina   Chapelco Airport"
473,YLD,"Chapleau, Ontario, Canada"
474,CRL,"Charleroi   Gosselies, Belgium   Brussels South Charleroi Airport"
475,CHS,"Charleston, SC, USA Charleston International Airport"
476,CRW,"Charleston, WV, USA Yeager Airport"
477,CTL,"Charleville, Queensland, Australia Charleville"
478,CLT,"Charlotte, NC, USA Charlotte/Douglas Intl Airport"
479,STT,"Charlotte, St Thomas Island, VI, USA   Cyril E King Arpt"
480,CHO,"Charlottesville, VA, USA Charlottesville/Albemarle"
